95597,129598,131103,131234,131472
293760,381874,386486,388195,389857
1148435,1367250,1367250,1367250,1367250
13597,15683,15899,15978,16056
314,320,320,320,320
564956,802947,834927,846137,858500
772122,982581,994419,997050,999680
43781,91508,96206,97897,99776
40132,50187,51834,52788,53394
175987,182131,182570,182570,182789
16961,100523,107992,109859,111571
198,569,631,660,685
39923,289398,358043,375111,392179
58457,122212,132526,135593,138626
2221291,3333783,3410196,3428832,3446874
25083,28425,28563,28632,28667
623547,4107496,4324943,4392176,4447163
1379,1966,2085,2118,2142
7718,14866,15955,16264,16652
26467,63869,68973,70557,72142
75,420,516,546,567
12340,20622,22833,23162,23426
19686,42976,45814,46760,47706
981110,1206921,1216265,1219380,1222495
552183,666783,673357,675548,678397
153,814,1056,1121,1187
7641,12283,12329,12344,12359
753,1323,1415,1443,1458
91126,226165,251272,260275,265276
2993,6126,6667,6857,7067
36034,396030,509280,547030,584780
3508,6770,7066,7165,7259
32518,116135,130071,134717,139362
1635,3521,3737,3842,3923
235192,478901,499210,510347,518864
691031,1140528,1151541,1155477,1156667
150,394,417,422,429
28453,30633,30858,30971,31008
22938,49725,51385,52095,52805
10051,24440,26060,26593,27126
278,556,589,600,602
114,138,140,141,141
3089,3816,3939,3968,4004
34990,121955,135888,139233,142579
74,195,216,223,229
68072,74767,75224,75376,75521
7220,8967,9507,9764,9854
248586,517580,555817,563675,572621
13985,40064,44420,45509,46369
379,759,842,885,885
791,3329,3696,3788,3835
171324,397072,432672,444539,454937
83344,117754,119200,120182,121192
3828867,5923386,6112678,6156866,6191387
1557,2434,2508,2537,2557
15830,23791,24725,25057,25117
91226,103062,103259,103325,103391
1654,2038,2066,2072,2079
82321,120628,123694,124822,126570
11403,30852,34083,35096,35920
194741,238483,240880,241479,242378
544706,635094,643023,645402,647781
6652,8463,8622,8654,8707
891,1756,1766,1769,1769
940712,1097498,1108310,1111014,1112365
21872,259217,309212,325877,342542
584,941,961,962,966
8688,13237,13665,13844,13987
1563,2820,3078,3206,3303
513477,605508,606969,606969,607699
197509,257942,263825,265159,266701
1205083,2485919,2661906,2702383,2741492
6964,32679,32965,33043,33120
14272,19399,19639,19712,19808
8644,9701,9858,9907,9943
35186,47141,47847,48005,48163
